OBJECTID,project_id,project_name,project_summary,project_description,project_data_access_and_use_constraints,publish_date,project_owner,principal_investigator,project_contact,project_contact_email,country_code,project_latitude,project_longitude,scientificName,verbatimScientificName,verbatimScientificNameAuthorship,countryCode,locality,stateProvince,occurrenceStatus,individualCount,publishingOrgKey,decimalLatitude,decimalLongitude,coordinateUncertaintyInMeters,coordinatePrecision,elevation,elevationAccuracy,depth,depthAccuracy,eventDate,day_,month_,year_,taxonKey,speciesKey,basisOfRecord,institutionCode,collectionCode,catalogNumber,recordNumber,identifiedBy,dateIdentified,license,rightsHolder,recordedBy,typeStatus,establishmentMeans,lastInterpreted,mediaType,issue,RASTERVALU
1,p205,Carnivore Behavior in Westchester County,"Multiple projects at Pace University that use Camara Trap methods to investigate carnivore behavior in parks, university campus and Con Ed corridors.","Multiple projects at Pace University that use Camera Trap methods to investigate carnivore behavior in parks, university campus and Con Ed corridors.",,2015-05-31,Dan Farkas,Dan Farkas,Dan Farkas,dfarkas@pace.edu,US,41.128739,-73.8508233,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,80
2,p214,Shingle Shanty Adirondack Mammal Survey,,Data from a 2011 survey of Shingle Shanty with camera traps. &nbsp;Traps were run first without bait and then some were baited with acoustic or olfactory lures. &nbsp;Traps were stratified between habitat including bogs and forest. &nbsp;At the same time a team from the NY State Museum and Smithsonian collected small mammals in some of the same places.&nbsp;,,2017-07-24,Roland Kays,Roland Kays,Roland Kays,rokays@gmail.com,US,43.960382,-74.725194,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10
3,p213,Albany Area Camera Trapping,,"Camera trapping data from the Albany area collected around 2011 and 2012 by Roland Kays and the NY State Museum. &nbsp;Data includes suburban sets in the woods around Albany and wild sets, mostly out by Grafton state park. &nbsp;Some of the suburban sets include a test of alternative animal movement corridor models as detailed in LaPoint et al 2013. &nbsp;Some of the other data is unpublished. &nbsp;There are also some cameras that were placed in front of a plastic flamingo to see how animals would respond to novel objects. &nbsp;These also had a scent lure on the flamingo of cinnamon or orange. &nbsp;These baited sets are clearly noted in the metadata. &nbsp;&nbsp;LaPoint, S., P. Gallery, M. Wikelski, and R. Kays. 2013. Animal behavior, cost-based corridor models, and real corridors. Landscape Ecology 28:1615–1630.",,2017-07-21,Roland Kays,Roland Kays,Roland Kays,rokays@gmail.com,US,42.6526,-73.7562,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,75
4,p171,NY Metro Wildlife Network,The NY Metro Wildlife Network is studying wildlife in the greater NY Metropolitan Area. We use camera traps to investigate how several species are able to make a living along this vast urban-rural gradient.,"The Metropolitan Wildlife Network is studying wildlife in the greater NY Metropolitan Area, including NYC; Westchester County, NY; Putnam County, NY; Nassau and Suffolk Counties, NY; and Fairfield, CT. We are interested in how several species are able to make a living along this vast urban-rural gradient. Camera traps play a integral role in studying several species over this large landscape; though along with camera traps we are also using genetics, citizen sightings reports, and traditional field methods when necessary. Please contact us if you are interested in running cameras on your own property -- surveys of private parcels are an important source of data for our research. The MWN is a collaboration of several conservation organizations in and around New York City that includes the Mianus River Gorge, the American Museum of Natural History, Hofstra University, Fordham University, and Wave Hill Botanical Garden, to name just a few of our partners. For more information on our work you can visit the following links:http://gothamcoyote.com; <a href=""http://mianus.org"">http://mianus.org</a>; <a href=""http://www.inaturalist.org/projects/gotham-canid-survey"">http://www.inaturalist.org/projects/gotham-canid-survey</a>; <a href=""http://www.inaturalist.org/projects/wild-suburbia-new-york-ct"">http://www.inaturalist.org/projects/wild-suburbia-new-york-ct</a> ",,2019-05-25,Christopher Nagy,Christopher Nagy,Christopher Nagy,cmwnagy@gmail.com,US,41.185284,-73.622353,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11
5,,,,,,,,,,,,,,1780,Ursus americanus,,US,,New York,,,28eb1a3f-1c15-4a95-931a-4af90ecb574d,42.2425,-74.722364,22,,,,,,2017-09-09T17:27:48Z,9,9,2017,2433407,2433407,HUMAN_OBSERVATION,iNaturalist,Observations,32122914,,,2019-09-04T19:44:14Z,CC_BY_NC_4_0,jmiranda,jmiranda,,,2019-10-01T07:58:28.307Z,STILLIMAGE,GEODETIC_DATUM_ASSUMED_WGS84;COORDINATE_ROUNDED,15
6,,,,,,,,,,,,,,1780,Ursus americanus,,US,,New York,,,28eb1a3f-1c15-4a95-931a-4af90ecb574d,43.987013,-74.184201,244,,,,,,2019-08-31T17:29:00Z,31,8,2019,2433407,2433407,HUMAN_OBSERVATION,iNaturalist,Observations,32108106,,,2019-09-04T15:21:12Z,CC_BY_NC_4_0,Bradley Rasmussen,Bradley Rasmussen,,,2019-10-01T07:58:22.579Z,STILLIMAGE,GEODETIC_DATUM_ASSUMED_WGS84;COORDINATE_ROUNDED,1
7,,,,,,,,,,,,,,1780,Ursus americanus,,US,,New York,,,28eb1a3f-1c15-4a95-931a-4af90ecb574d,44.324461,-74.127146,1992,,,,,,2019-07-30T13:15:00Z,30,7,2019,2433407,2433407,HUMAN_OBSERVATION,iNaturalist,Observations,32060075,,,2019-09-03T17:17:30Z,CC_BY_NC_4_0,Tom Dudones,Tom Dudones,,,2019-10-01T07:58:14.319Z,STILLIMAGE,GEODETIC_DATUM_ASSUMED_WGS84;COORDINATE_ROUNDED,95
8,,,,,,,,,,,,,,1780,Ursus americanus,,US,,New York,,,28eb1a3f-1c15-4a95-931a-4af90ecb574d,41.940131,-74.263399,186,,,,,,2019-08-25T19:04:00Z,25,8,2019,2433407,2433407,HUMAN_OBSERVATION,iNaturalist,Observations,31639472,,,2019-08-27T22:52:36Z,CC_BY_NC_4_0,joelcohen44,joelcohen44,,,2019-10-01T07:57:36.704Z,STILLIMAGE,GEODETIC_DATUM_ASSUMED_WGS84;COORDINATE_ROUNDED,10
9,,,,,,,,,,,,,,1780,Ursus americanus,,US,,New York,,,28eb1a3f-1c15-4a95-931a-4af90ecb574d,42.196105,-74.080271,393,,,,,,2019-06-10T09:55:00Z,10,6,2019,2433407,2433407,HUMAN_OBSERVATION,iNaturalist,Observations,31530242,,,2019-08-26T04:40:38Z,CC_BY_NC_4_0,currenfrasch,currenfrasch,,,2019-10-01T07:57:27.116Z,STILLIMAGE,GEODETIC_DATUM_ASSUMED_WGS84;COORDINATE_ROUNDED,6
10,,,,,,,,,,,,,,1780,Ursus americanus,,US,,New York,,,28eb1a3f-1c15-4a95-931a-4af90ecb574d,42.199131,-74.041072,1607,,,,,,2011-08-16T15:24:00Z,16,8,2011,2433407,2433407,HUMAN_OBSERVATION,iNaturalist,Observations,28454844,,,2019-07-08T20:07:09Z,CC_BY_NC_4_0,Christopher Aucoin,Christopher Aucoin,,,2019-09-21T02:13:24.618Z,STILLIMAGE,GEODETIC_DATUM_ASSUMED_WGS84,10
