OBJECTID,CID,RASTERVALU
1,1,65
2,1,45
3,1,1
4,1,15
5,1,70
6,1,10
7,1,1
8,1,10
9,1,80
10,1,70
11,1,1
12,1,15
13,1,1
14,1,70
15,1,6
16,1,1
17,1,6
18,1,15
19,1,70
20,1,1
21,1,20
22,1,15
23,1,45
24,1,6
25,1,1
26,1,6
27,1,1
28,1,1
29,1,15
30,1,1
31,1,1
32,1,1
33,1,11
34,1,80
35,1,1
36,1,1
37,1,6
38,1,6
39,1,50
40,1,1
41,1,11
42,1,10
43,1,6
44,1,6
45,1,10
46,1,6
47,1,11
48,1,1
49,1,15
50,1,1
51,1,10
52,1,55
53,1,115
54,1,40
55,1,1
56,1,60
57,1,1
58,1,11
59,1,10
60,1,11
61,1,1
62,1,60
63,1,11
64,1,15
65,1,1
66,1,20
67,1,10
68,1,1
69,1,1
70,1,1
71,1,16
72,1,1
73,1,15
74,1,15
75,1,11
76,1,6
77,1,1
78,1,1
79,1,1
80,1,6
81,1,1
82,1,1
83,1,10
84,1,10
85,1,6
86,1,1
87,1,6
88,1,10
89,1,16
90,1,11
91,1,40
92,1,65
93,1,50
94,1,50
95,1,25
96,1,40
97,1,1
98,1,11
99,1,10
100,1,50
